index,original_name,molecular_formula,specific_price,source,specific_strength,notes,mass_density
Ag,Silver Bullion,Ag,608.4850295578531,USGS,,,
Al,Aluminum Ingot,Al,2.3906927711328128,USGS,,,
Al2O3,Bauxite and Alumina Alumina,Al2O3,0.5335186744874038,USGS,,,
AlSc,Scandium Mtl_Alloy,AlSc,340.0,USGS,,,
As,Arsenic Mtl-CN,As,1.542,USGS,,,
As2O3,"Arsenic Triox-CN, Arsenic Triox-MA",As2O3,0.609,USGS,,,
Asbestos,Asbestos Customs,Mg3Si2O5(OH)4,2.0326620573445715,USGS,,,
Au,Gold ,Au,48238.98015156943,USGS,,,
B,Boron CIF,B,0.4274763263764776,USGS,,,
Barite,Barite ,BaSO4,0.1977546491798352,USGS,,,
Bauxite,Bauxite and Alumina Bauxite,AlHO2,0.0335102638521013,USGS,,,
Be,Beryllium Alloy,Be,616.0,USGS,,,
Bi,Bismuth ,Bi,8.421658415462323,USGS,,,
Br2,Bromine Imports,Br2,2.442,USGS,,,
C6H12O6Sc,Scandium Cmpds_Acetate,C6H12O6Sc,44200.0,USGS,,,
CaF2,"Fluorspar Acid, Fluorspar Metallurgical",CaF2,0.2847270116117694,USGS,,,
CaO,"Lime Hydrated, Lime Quicklime",CaO,0.1560983047400025,USGS,,,
CaSO4,"Gypsum Mine, Gypsum Plant",CaSO4,0.0198416035966389,USGS,,,
Cd,Cadmium Metal,Cd,2.418,USGS,,,
CeO2,Rare Earths CeO2,CeO2,2.0,USGS,,,
Celestite,Strontium ,SrSO4,0.0892872161848754,USGS,,,
Cement,Cement Avg,CaAl2O6Si,0.1344819799327753,USGS,,,
Clay,"Clays Ball, Clays Bentonite, Clays Common, Clays Fire, Clays Fullers, Clays Kaolin",Al2O5Si,0.0792929269658276,USGS,,,
Co,"Cobalt LME, Cobalt Spot",Co,50.56522445472352,USGS,,,
Cr,Chromium Metal,Cr,10.32711374752622,USGS,,,
CrFeO4,Chromium Ore,CrFeO4,0.2590431580672311,USGS,,,
Cu,"Copper COMEX, Copper LME, Copper US",Cu,6.868575265790589,USGS,,,
Diamond,"Diamond (Industrial) Bort_Imports, Diamond (Industrial) Stones_Imports",C,21410.0,USGS,,,
Diatomite,Diatomite ,SiO2,0.3725812230924431,USGS,,,
Dy2O3,Rare Earths Dy2O3,Dy2O3,253.2,USGS,,,
Eu2O3,Rare Earths Eu2O3,Eu2O3,45.4,USGS,,,
Fe,"Iron and Steel Scrap , Iron and Steel Slag ",Fe,0.180117668205045,USGS,,,
FeCr,Chromium Ferrrochromium,FeCr,2.5282612227361763,USGS,,,
FeSi2,"Silicon FeSi2_50, Silicon FeSi2_75",FeSi2,2.260730267574827,USGS,,,
FeTiO3,"Titanium Mineral Concentrates Ilmenite, Titanium Mineral Concentrates Ilmente_Leucoxene",FeTiO3,0.3802974022689138,USGS,,,
Feldspar,Feldspar and Nepheline Syenite Feldspar,AlKO8Si3,0.1067037348974807,USGS,,,
Ga,"Gallium High-purity, Gallium Low-purity, Garnet (Industrial) Import",Ga,236.69626852115405,USGS,,,
Ge,Germanium Metal,Ge,1221.4,USGS,,,
GeO2,Germanium GeO2,GeO2,844.4,USGS,,,
Graphite,"Graphite (Natural) Amorphous, Graphite (Natural) Flake, Graphite (Natural) Lump",C6,1.601658334773136,USGS,,,
Gravel,"Sand and Gravel (Construction) , Sand and Gravel (Industrial) ",C15H21NO,0.0291803850227903,USGS,,,
H3N,Nitrogen (Fixed)--Ammonia ,H3N,0.3291501574420222,USGS,,,
Hf,Zirconium and Hafnium Hf_unwrought,Hf,0.9038952749579982,USGS,,,
Hg,"Mercury EU, Mercury Global",Hg,47.11101440866455,USGS,,,
I2,Iodine Crude_CIF,I2,26.392000000000003,USGS,,,
In,"Indium FOB, Indium NY, Indium Rotterdam",In,265.9166666666667,USGS,,,
Ir,Platinum-Group Metals Iridium,Ir,2.36356048052572,USGS,,,
Iron Ore,Iron Ore ,Fe2O3,0.0991529024176487,USGS,,,
Iron Oxide Pigment,Iron Oxide Pigments ,Fe2O3,1.03,USGS,,,
K2O,Potash All,K2O,0.9193276333109396,USGS,,,
KCl,Potash Muriate,KCl,0.5136770708907648,USGS,,,
La2O3,Rare Earths La2O3,La2O3,2.0,USGS,,,
Li2CO3,Lithium ,Li2CO3,15.366219674285968,USGS,,,
Metallurgical Silicon,Silicon Si,Si,2.6157847408235724,USGS,,,
Mg,"Magnesium Metal European, Magnesium Metal US_spot",Mg,1.6702441445388512,USGS,,,
Mischmetal,Rare Earths Mischmetal,C3CeH8LaNd,5.8,USGS,,,
Mn,Manganese CN_CIF,Mn,0.0062941975853782,USGS,,,
Mo,Molybdenum ,Mo,25.5,USGS,,,
Na2CO3,Soda Ash ,Na2CO3,0.157476193878658,USGS,,,
NaCl,"Salt Brine, Salt Rock, Salt Solar, Salt Vacuum",NaCl,0.110869369341464,USGS,,,
Nb,Niobium (Columbium) ,Nb,21.0,USGS,,,
Nd2O3,Rare Earths Nd2O3,Nd2O3,48.6,USGS,,,
Ni,Nickel ,Ni,7.630587238493453,USGS,,,
Pb,"Lead LME, Lead North_American",Pb,2.2182912821042384,USGS,,,
Pd,Platinum-Group Metals Palladium,Pd,1.821086628948366,USGS,,,
Peat,Peat ,K,0.0281662586167399,USGS,,,
Perlite,Perlite FOB,Al2CaFe2K2MgNa2O12Si,0.0723116219966398,USGS,,,
Phosphorite,Phosphate Rock ,Ca5(PO4)3F,0.0800895306065223,USGS,,,
Pt,Platinum-Group Metals Platinum,Pt,1.0553197797396814,USGS,,,
Pumice,Pumice and Pumicite ,C28FH37O7,0.0357148864739501,USGS,,,
Quartz,"Quartz Crystal (Industrial) Cultured, Quartz Crystal (Industrial) Lumbered",SiO2,328.0,USGS,,,
Re,"Rhenium Metal, Rhenium NH4ReO4",Re,1268.0,USGS,,,
Rh,Platinum-Group Metals Rhodium,Rh,9.36120905208348,USGS,,,
Ru,Platinum-Group Metals Ruthenium,Ru,0.3010831068432655,USGS,,,
S,Sulfur Sulfur,S,0.0646174890463876,USGS,,,
Sb,Antimony Metal,Sb,8.152694455596773,USGS,,,
Sc,"Scandium Mtl_Dendritic, Scandium Mtl_Ingot",Sc,182500.0,USGS,,,
Sc2O3,Scandium Cmpds_Oxide,Sc2O3,3820.0,USGS,,,
ScCl3,Scandium Cmpds_Chloride,ScCl3,129600.0,USGS,,,
ScF3,Scandium Cmpds_Fluoride,ScF3,224400.0,USGS,,,
ScI3,Scandium Cmpds_Iodide,ScI3,165400.0,USGS,,,
Se,Selenium ,Se,24.76232128860545,USGS,,,
Sn,"Tin LME, Tin NY",Sn,22.24023300921045,USGS,,,
Stone,Stone (Crushed) Average,Al2O5Si,0.0132674189382859,USGS,,,
Syenite,Feldspar and Nepheline Syenite Nepheline_syenite,Al2KNaO8Si2 ,0.1380093761277333,USGS,,,
Ta2O5,Tantalum Ta2O5,Ta2O5,176.8,USGS,,,
Talc,Talc and Pyrophyllite  ,H2Mg3O12Si4,0.2680821108168111,USGS,,,
TbO2,Rare Earths TbO2,TbO2,686.6,USGS,,,
Te,Tellurium ,Te,59.2,USGS,,,
Th,Thorium ,Th,72.33333333333333,USGS,,,
Ti,Titanium and Titanium Dioxide Sponge,Ti,11.26,USGS,,,
TiO2,"Titanium Mineral Concentrates Rutile, Titanium Mineral Concentrates Slag, Titanium and Titanium Dioxide Dioxide",TiO2,1.6847726076168346,USGS,,,
Tl,Thallium Metal,Tl,8066.666666666667,USGS,,,
WO3,Tungsten WO3,WO3,0.3044583840773159,USGS,,,
Y,"Yttrium Metal, Yttrium Y2O3",Y,19.4,USGS,,,
Zn,"Zinc , Zinc LME",Zn,2.818389559771475,USGS,,,
Zr,Zirconium and Hafnium Zr_CN,Zr,10.6,USGS,,,
ZrSO4,"Zirconium and Hafnium Zircon_AU, Zirconium and Hafnium Zircon_CN, Zirconium and Hafnium Zircon_import",ZrSO4,428.6574376489916,USGS,,,
kyanite,Kyanite and Related Minerals FOB,Al2H6O5Si,0.3952888360974855,USGS,,,
Ammonium Heptamolybdate,Ammonium heptamolybdate,H50Mo7N6O28 ,19.018,ISE,,,
Ammonium Paratungstate,Tungsten APT,(NH4)10(H2W12O42)(H2O)4,20.13233333333333,ISE,,,
Ammonium Tetrathiomolybdate,Ammonium Tetrathiomolybdate,H10MoN2S4,18.728,ISE,,,
Antimony Ethylene Glycoxide,Antimony ethelyene_glycol,,5.299,ISE,,,
As,Arsenic metal,As,1.145,ISE,,,
As2O3,Arsenic trioxide,As2O3,0.43,ISE,,,
Bi,Bismuth ingot,Bi,6.333515876680752,ISE,,,
Bi2O3,Bismuth oxides,Bi2O3,6.497,ISE,,,
CCoO3,Cobalt Carbonates,CCoO3,14.445,ISE,,,
CW,Tungsten carbide,CW,28.475,ISE,,,
Ca,"Calcium Granule, Calcium Ingot",Ca,3.773600000000001,ISE,,,
Cd,Cadmium Ingot,Cd,2.784739448795549,ISE,,,
ClLi,Lithium chlorides,ClLi,9.7995,ISE,,,
Co,"Cobalt Conc., Cobalt Intermediate, Cobalt Powder, Cobalt metal",Co,27.90081991332564,ISE,,,
Co3O4,"Cobalt Tetroxide, Cobalt oxides",Co3O4,22.2,ISE,,,
CoCl2,Cobalt Chloride,CoCl2,6.388,ISE,,,
CoO,Cobalt Monoxide,CoO,31.6,ISE,,,
CoSO4,Cobalt sulphates,CoSO4,5.3715,ISE,,,
Cr,Chromium metal,Cr,8.244,ISE,,,
CrFeO4,"Chrome Conc., Chrome lump",CrFeO4,0.1229772727272727,ISE,,,
FeTiO3,"Ilmenite Conc, Ilmenite Reduced, Rutile Conc, Titanium Slag",FeTiO3,0.3993333333333333,ISE,,,
Ga,Gallium metal,Ga,151.625,ISE,,,
Ge,Germanium metal,Ge,1152.75,ISE,,,
GeO2,Germanium dioxides,GeO2,720.5,ISE,,,
In,Indium ingot,In,168.75,ISE,,,
LCO,Lithium Cobaltate,LiCoO2,28.950000000000003,ISE,,,
LMO,Lithium manganates,LiMn2O4,6.968500000000001,ISE,,,
Li,Lithium metal,Li,100.17275,ISE,,,
Li2CO3,Lithium Carbonates,Li2CO3,11.243,ISE,,,
LiOH,Lithium hydroxides_monohydrates,LiOH(H2O),23.09732377750867,ISE,,,
Metallurgical Silicon,Silicon metal,,1.765666728000003,ISE,,,
Mg,"Magnesium Ingot, Magnesium Powder, Manganese flakes, Mercury metal",Mg,7.123875000000001,ISE,,,
Mn,"Manganese Briquette, Manganese Lump",Mn,2.005,ISE,,,
MnO2,Manganese dioxides,MnO2,1.60425,ISE,,,
MnSO4,Manganese sulphates,MnSO4,0.9875,ISE,,,
Mo,"Molybdenum Powder, Molybdenum Rod, Molybdenum bar",Mo,43.63333333333333,ISE,,,
MoO3,Molybdenum oxides,MoO3,25.66737438890782,ISE,,,
MoS2,Molybdenum Conc.,MoS2,26.35,ISE,,,
NH4VO3,Ammonium metavanadate,NH4VO3,16.913,ISE,,,
NV,Vanadium nitrides,NV,27.0755,ISE,,,
Na2WO4,Sodium Tungstate,Na2WO4,14.9535,ISE,,,
NaMo2O4,Sodium Molybdate,NaMo2O4,12.485,ISE,,,
Nb2O5,"Niobium Conc., Niobium pentoxides",Nb2O5,35.47264430285721,ISE,,,
Polysilicon,Silicon polysilicon,,10.55,ISE,,,
Re,Rhenium APR,Re,1502.5,ISE,,,
Sb,Antimony Ingot,Sb,5.963108856403382,ISE,,,
Sb2O3,Antimony Trioxide,Sb2O3,5.37909715663868,ISE,,,
Se,Selenium Powder,Se,20.271760276302707,ISE,,,
SeO2,Selenium dioxides,SeO2,12.7,ISE,,,
Sr,Strontium metal,Sr,6.80275,ISE,,,
Ta,Tantalum metal,Ta,281.6666666666667,ISE,,,
Ta2O5,"Tantalum Conc., Tantalum pentoxide",Ta2O5,197.93038657815163,ISE,,,
Te,Tellurium metal,Te,55.96666666666667,ISE,,,
