original_name,SM_name,SM_type,materials,mat_basis
"2,7-AQDS/HBr/Br2 1M/3M (acid pH)","AQDS/HBr/Br2 ",flow_battery,"[('AQDS', 0.5), ('Br2', 0.5)]",molar
"2,7-AQDS/FeSO4 0.33M/0.67M (acid pH)",AQDS/FeSO4,flow_battery,"[('AQDS', 0.5), ('FeSO4', 0.5)]",molar
"2,6-DBEAQ/K4[Fe(CN)6] 0.5M/0.3M pH 12",DBEAQ/K4[Fe(CN)6],flow_battery,"[('AQDS', 0.5), ('K4Fe(CN)6', 0.5)]",molar
"2,6-DPPEAQ/K4[Fe(CN)6] 0.5M/0.4M (pH 9)",DPPEAQ/K4[Fe(CN)6],flow_battery,"[('AQDS', 0.5), ('K4Fe(CN)6', 0.5)]",molar
DHPS/K4[Fe(CN)6] 1.4M/0.31M (pH 14),DHPS/K4[Fe(CN)6],flow_battery,"[('AQDS', 0.5), ('K4Fe(CN)6', 0.5)]",molar
ACA/K4[Fe(CN)6] 0.5M/0.4M (pH 14),ACA/K4[Fe(CN)6],flow_battery,,
BTMAP-Vi/TMAP-TEMPO 1.5M/1.5M (neutral pH),BTMAP-Vi/TMAP-TEMPO,flow_battery,"[('Bipyridine', 0.5), ('TEMPO', 0.5)]",molar
BTMAP-Vi/BTMAP-Fc 1.3M/1.3M (neutral pH),BTMAP-Vi/BTMAP-Fc,flow_battery,Bipyridine,
BTMAP-Vi/BTMAP-Fc 0.75M/1M (neutral pH),BTMAP-Vi/BTMAP-Fc,flow_battery,Bipyridine,
(SPrN)2V/NH4[Fe(CN)6] 0.9M/0.9M (neutral pH),(SPrN)2V/NH4[Fe(CN)6],flow_battery,"[('Bipyridine', 0.5), ('K4Fe(CN)6', 0.5)]",molar
Nickel (NiOOH),Ni/Zn,hybrid_flow,"[('Zn', 0.5), ('Ni(OH)2', 0.5)]",molar
Iron-alkaline K3[Fe(CN)6],K3[Fe(CN)6]/Zn,hybrid_flow,"[('Zn', 0.5), ('K4Fe(CN)6', 0.5)]",molar
Iron-acidic (FeCl3),FeCl3Zn,hybrid_flow,"[('Zn', 0.5), ('FeCl2', 0.5)]",molar
Cerium (Ce4+),Ce4/Zn,hybrid_flow,"[('Zn', 0.5), ('CeO2', 0.5)]",molar
Iodine (I3?),I3/Zn,hybrid_flow,"[('Zn', 0.5), ('I2', 0.5)]",molar
TEMPOL (organic),TEMPO/Zn,hybrid_flow,"[('Zn', 0.5), ('TEMPO', 0.5)]",molar
