couple_name,type,A,B,mu_A,mu_B,deltaV,specific_energy,source
Pb acid,Pb acid,Pb,Pb,207.2,207.2,1.0,0.0646751662376662,Li 2017
NiCd,NiCd,Cd(OH)2,Ni(OH)2,146.428,92.7074,1.0,0.1120762082439023,Li 2017
NiMH,NiMH,LaNi5,Ni(OH)2,432.37247,92.7074,1.0,0.0510424992847067,Li 2017
Zn/air,Zn2+ based,Zn,O2,65.38,31.998,1.0,0.2752304307840466,Li 2017
Zn/NiOOH,Zn2+ based,Zn,Ni(OH)2,65.38,92.7074,1.0,0.1695352627020805,Li 2017
Zn/MnO2,Zn2+ based,Zn,MnO2,65.38,86.936043,1.0,0.1759590674823983,Li 2017
Zn/Br2,Zn2+ based,Zn,Br2,65.38,159.808,1.0,0.1190178379349205,Li 2017
Zn/Fe,Zn2+ based,Zn(OH)4,Fe,133.40800000000002,55.845,1.0,0.1416167188308184,Li 2017
Zn/Zn0.25V2O5,Zn2+ based,Zn,Zn0.25V2O5,65.38,198.223,1.0,0.1016733075453954,Li 2017
Mg/Ti2S4,Mg2+ based,Mg,Ti2S4,24.305,223.974,1.0,0.1079486742289476,Li 2017
Li/S,Lithium metal,Li,S,6.94,32.06,3.0,2.061645299145299,Li 2017
Li/TiS2,Lithium metal,Li,TiS2,6.94,111.987,3.0,0.6760800042603166,Li 2017
Li/MoS2,Lithium metal,Li,MoS2,6.94,160.07,3.0,0.4814332475101291,Li 2017
Li/LCO,Lithium metal,Li,LiCoO2,6.94,97.871194,3.0,0.7671333909874805,Li 2017
Li/air,Lithium metal,Li,O2,6.94,31.998,3.0,2.0649280052048558,Li 2017
Na/S,High temperature,Na,S,22.98976928,32.06,1.0,0.4868574244620137,Li 2017
Na/NiCl2,High temperature,Na,NiCl2(H2O)6,22.98976928,237.6834,1.0,0.1028160625925424,Li 2017
Li/Pb2Sb,High temperature,Li,Pb2Sb,6.94,536.16,1.0,0.0493489023916201,Li 2017
ICB,Redox flow,Cr,Fe,51.9961,55.845,1.0,0.2485266645915971,Li 2017
Fe/Fe,Redox flow,Fe,Fe,55.845,55.845,1.0,0.2399622964355706,Li 2017
PSB,Redox flow,S,Br3,32.06,239.712,1.0,0.0986171823767308,Li 2017
VRFB,Redox flow,V,V,50.9415,50.9415,1.0,0.2630604604191954,Li 2017
Cu/Cu,Redox flow,Cr,Cu,51.9961,63.546,1.0,0.2319621063568074,Li 2017
AQDS/Br,Redox flow,C14H8O8S2,Br2,368.33,159.808,1.0,0.0507469428234455,Li 2017
"Aq-S/air 
 (Na, H+)",Flow-air,S,O2,32.06,31.998,1.0,0.4183925331557164,Li 2017
"Aq-S/air  
(Na, OH-)",Flow-air,S,O2,32.06,31.998,1.0,0.4183925331557164,Li 2017
"Aq-S/air  
(Li, H+)",Flow-air,S,O2,32.06,31.998,1.0,0.4183925331557164,Li 2017
"Aq-S/air 
(Li, OH-)",Flow-air,S,O2,32.06,31.998,1.0,0.4183925331557164,Li 2017
C6/LMO,Li ion  (C6 anode),C6,LiMn2O4,72.066,180.812086,3.0,0.3179562449973094,Li 2017
C6/LCO,Li ion  (C6 anode),C6,LiCoO2,72.066,97.871194,3.0,0.4731404866357077,Li 2017
C6/LFP,Li ion  (C6 anode),C6,LiFePO4,72.066,157.754761998,3.0,0.3498559745762499,Li 2017
C6/LMNO,Li ion  (C6 anode),C6,LiMn1.5Ni0.5O4,72.066,182.6897645,3.0,0.3156127470735472,Li 2017
